id,nombre,email,rol,equipo_id,zona,segmento_experto,capacidad_maxima,fecha_ingreso,activo,_source_row,id_original,id_normalizado,id_normalization_rule,id_was_inferred,nombre_original,nombre_normalizado,nombre_normalization_rule,nombre_was_inferred,email_original,email_normalizado,email_normalization_rule,email_was_inferred,rol_original,rol_normalizado,rol_normalization_rule,rol_was_inferred,equipo_id_original,equipo_id_normalizado,equipo_id_normalization_rule,equipo_id_was_inferred,zona_original,zona_normalizada,zona_normalization_rule,zona_was_inferred,segmento_experto_original,segmento_experto_normalizado,segmento_experto_normalization_rule,segmento_experto_was_inferred,capacidad_maxima_original,capacidad_maxima_normalizado,capacidad_maxima_normalization_rule,capacidad_maxima_was_inferred,fecha_ingreso_original,fecha_ingreso_normalizado,fecha_ingreso_normalization_rule,fecha_ingreso_was_inferred,activo_original,activo_normalizado,activo_normalization_rule,activo_was_inferred
1,Diana Marcela Ospina,diana.ospina@empresa.co,admin,,Centro,,,2019-02-11,true,2,1,1,trim_unicode_nfc,False,Diana Marcela Ospina,Diana Marcela Ospina,trim_unicode_nfc,False,diana.ospina@empresa.co,diana.ospina@empresa.co,trim_unicode_casefold,False,admin,admin,trim_unicode_casefold,False,,,missing,False,Centro,Centro,explicit_zone_alias,False,,,missing,False,,,missing,False,2019-02-11,2019-02-11,iso_date,False,true,True,explicit_boolean,False
2,Carlos Mauricio Pardo,carlos.pardo@empresa.co,lider,1,Centro,corporativo,40,2020-06-01,true,3,2,2,trim_unicode_nfc,False,Carlos Mauricio Pardo,Carlos Mauricio Pardo,trim_unicode_nfc,False,carlos.pardo@empresa.co,carlos.pardo@empresa.co,trim_unicode_casefold,False,lider,lider,trim_unicode_casefold,False,1,1,trim_unicode_nfc,False,Centro,Centro,explicit_zone_alias,False,corporativo,corporativo,trim_unicode_casefold,False,40,40,nonnegative_decimal,False,2020-06-01,2020-06-01,iso_date,False,true,True,explicit_boolean,False
3,Juliana Ríos Gaviria,juliana.rios@empresa.co,vendedor,1,Centro,corporativo,35,2021-03-15,true,4,3,3,trim_unicode_nfc,False,Juliana Ríos Gaviria,Juliana Ríos Gaviria,trim_unicode_nfc,False,juliana.rios@empresa.co,juliana.rios@empresa.co,trim_unicode_casefold,False,vendedor,vendedor,trim_unicode_casefold,False,1,1,trim_unicode_nfc,False,Centro,Centro,explicit_zone_alias,False,corporativo,corporativo,trim_unicode_casefold,False,35,35,nonnegative_decimal,False,2021-03-15,2021-03-15,iso_date,False,true,True,explicit_boolean,False
4,Nicolás Restrepo Vélez,nicolas.restrepo@empresa.co,vendedor,1,centro,corporativo,35,2020-08-03,false,5,4,4,trim_unicode_nfc,False,Nicolás Restrepo Vélez,Nicolás Restrepo Vélez,trim_unicode_nfc,False,nicolas.restrepo@empresa.co,nicolas.restrepo@empresa.co,trim_unicode_casefold,False,vendedor,vendedor,trim_unicode_casefold,False,1,1,trim_unicode_nfc,False,centro,Centro,explicit_zone_alias,False,corporativo,corporativo,trim_unicode_casefold,False,35,35,nonnegative_decimal,False,2020-08-03,2020-08-03,iso_date,False,false,False,explicit_boolean,False
5,Paula Andrea Cárdenas,paula.cardenas@empresa.co,lider,2,Centro,pyme,45,2019-11-20,true,6,5,5,trim_unicode_nfc,False,Paula Andrea Cárdenas,Paula Andrea Cárdenas,trim_unicode_nfc,False,paula.cardenas@empresa.co,paula.cardenas@empresa.co,trim_unicode_casefold,False,lider,lider,trim_unicode_casefold,False,2,2,trim_unicode_nfc,False,Centro,Centro,explicit_zone_alias,False,pyme,pyme,trim_unicode_casefold,False,45,45,nonnegative_decimal,False,2019-11-20,2019-11-20,iso_date,False,true,True,explicit_boolean,False
6,Andrés Felipe Cuéllar,andres.cuellar@empresa.co,vendedor,2,CENTRO,pyme,,2024-01-08,true,7,6,6,trim_unicode_nfc,False,Andrés Felipe Cuéllar,Andrés Felipe Cuéllar,trim_unicode_nfc,False,andres.cuellar@empresa.co,andres.cuellar@empresa.co,trim_unicode_casefold,False,vendedor,vendedor,trim_unicode_casefold,False,2,2,trim_unicode_nfc,False,CENTRO,Centro,explicit_zone_alias,False,pyme,pyme,trim_unicode_casefold,False,,,missing,False,2024-01-08,2024-01-08,iso_date,False,true,True,explicit_boolean,False
7,Laura Bermúdez Sáenz,laura.bermudez@empresa.co,vendedor,2,Centro,pyme,0,2026-08-24,true,8,7,7,trim_unicode_nfc,False,Laura Bermúdez Sáenz,Laura Bermúdez Sáenz,trim_unicode_nfc,False,laura.bermudez@empresa.co,laura.bermudez@empresa.co,trim_unicode_casefold,False,vendedor,vendedor,trim_unicode_casefold,False,2,2,trim_unicode_nfc,False,Centro,Centro,explicit_zone_alias,False,pyme,pyme,trim_unicode_casefold,False,0,0,nonnegative_decimal,False,2026-08-24,2026-08-24,iso_date,False,true,True,explicit_boolean,False
8,Santiago Mejía Botero,santiago.mejia@empresa.co,vendedor,2,Centro,pyme,45,2023-05-02,true,9,8,8,trim_unicode_nfc,False,Santiago Mejía Botero,Santiago Mejía Botero,trim_unicode_nfc,False,santiago.mejia@empresa.co,santiago.mejia@empresa.co,trim_unicode_casefold,False,vendedor,vendedor,trim_unicode_casefold,False,2,2,trim_unicode_nfc,False,Centro,Centro,explicit_zone_alias,False,pyme,pyme,trim_unicode_casefold,False,45,45,nonnegative_decimal,False,2023-05-02,2023-05-02,iso_date,False,true,True,explicit_boolean,False
9,Mónica Álvarez Uribe,monica.alvarez@empresa.co,lider,3,Antioquia,industrial,40,2018-09-17,true,10,9,9,trim_unicode_nfc,False,Mónica Álvarez Uribe,Mónica Álvarez Uribe,trim_unicode_nfc,False,monica.alvarez@empresa.co,monica.alvarez@empresa.co,trim_unicode_casefold,False,lider,lider,trim_unicode_casefold,False,3,3,trim_unicode_nfc,False,Antioquia,Antioquia,explicit_zone_alias,False,industrial,industrial,trim_unicode_casefold,False,40,40,nonnegative_decimal,False,2018-09-17,2018-09-17,iso_date,False,true,True,explicit_boolean,False
10,Jorge Iván Arango,jorge.arango@empresa.co,vendedor,3,ANTIOQUIA,industrial,40,2022-02-14,true,11,10,10,trim_unicode_nfc,False,Jorge Iván Arango,Jorge Iván Arango,trim_unicode_nfc,False,jorge.arango@empresa.co,jorge.arango@empresa.co,trim_unicode_casefold,False,vendedor,vendedor,trim_unicode_casefold,False,3,3,trim_unicode_nfc,False,ANTIOQUIA,Antioquia,explicit_zone_alias,False,industrial,industrial,trim_unicode_casefold,False,40,40,nonnegative_decimal,False,2022-02-14,2022-02-14,iso_date,False,true,True,explicit_boolean,False
11,Valentina Zapata Ruiz,valentina.zapata@empresa.co,vendedor,3,Antioquia,pyme,40,2026-07-06,true,12,11,11,trim_unicode_nfc,False,Valentina Zapata Ruiz,Valentina Zapata Ruiz,trim_unicode_nfc,False,valentina.zapata@empresa.co,valentina.zapata@empresa.co,trim_unicode_casefold,False,vendedor,vendedor,trim_unicode_casefold,False,3,3,trim_unicode_nfc,False,Antioquia,Antioquia,explicit_zone_alias,False,pyme,pyme,trim_unicode_casefold,False,40,40,nonnegative_decimal,False,2026-07-06,2026-07-06,iso_date,False,true,True,explicit_boolean,False
12,Ricardo Lozano Pineda,ricardo.lozano@empresa.co,lider,4,Occidente,corporativo,38,2020-01-13,true,13,12,12,trim_unicode_nfc,False,Ricardo Lozano Pineda,Ricardo Lozano Pineda,trim_unicode_nfc,False,ricardo.lozano@empresa.co,ricardo.lozano@empresa.co,trim_unicode_casefold,False,lider,lider,trim_unicode_casefold,False,4,4,trim_unicode_nfc,False,Occidente,Occidente,explicit_zone_alias,False,corporativo,corporativo,trim_unicode_casefold,False,38,38,nonnegative_decimal,False,2020-01-13,2020-01-13,iso_date,False,true,True,explicit_boolean,False
13,Catalina Vargas Nieto,catalina.vargas@empresa.co,vendedor,4,Occidente,pyme,38,2023-10-30,true,14,13,13,trim_unicode_nfc,False,Catalina Vargas Nieto,Catalina Vargas Nieto,trim_unicode_nfc,False,catalina.vargas@empresa.co,catalina.vargas@empresa.co,trim_unicode_casefold,False,vendedor,vendedor,trim_unicode_casefold,False,4,4,trim_unicode_nfc,False,Occidente,Occidente,explicit_zone_alias,False,pyme,pyme,trim_unicode_casefold,False,38,38,nonnegative_decimal,False,2023-10-30,2023-10-30,iso_date,False,true,True,explicit_boolean,False
14,Óscar Hernán Salazar,oscar.salazar@empresa.co,vendedor,4,occidente,industrial,38,,true,15,14,14,trim_unicode_nfc,False,Óscar Hernán Salazar,Óscar Hernán Salazar,trim_unicode_nfc,False,oscar.salazar@empresa.co,oscar.salazar@empresa.co,trim_unicode_casefold,False,vendedor,vendedor,trim_unicode_casefold,False,4,4,trim_unicode_nfc,False,occidente,Occidente,explicit_zone_alias,False,industrial,industrial,trim_unicode_casefold,False,38,38,nonnegative_decimal,False,,,missing,False,true,True,explicit_boolean,False
15,Marcela Fonseca Prieto,marcela.fonseca@empresa.co,vendedor,5,Costa,pyme,42,2021-07-19,true,16,15,15,trim_unicode_nfc,False,Marcela Fonseca Prieto,Marcela Fonseca Prieto,trim_unicode_nfc,False,marcela.fonseca@empresa.co,marcela.fonseca@empresa.co,trim_unicode_casefold,False,vendedor,vendedor,trim_unicode_casefold,False,5,5,trim_unicode_nfc,False,Costa,Costa,explicit_zone_alias,False,pyme,pyme,trim_unicode_casefold,False,42,42,nonnegative_decimal,False,2021-07-19,2021-07-19,iso_date,False,true,True,explicit_boolean,False
16,Julián Camargo Peña,julian.camargo@empresa.co,vendedor,5,costa,corporativo,42,2024-04-22,true,17,16,16,trim_unicode_nfc,False,Julián Camargo Peña,Julián Camargo Peña,trim_unicode_nfc,False,julian.camargo@empresa.co,julian.camargo@empresa.co,trim_unicode_casefold,False,vendedor,vendedor,trim_unicode_casefold,False,5,5,trim_unicode_nfc,False,costa,Costa,explicit_zone_alias,False,corporativo,corporativo,trim_unicode_casefold,False,42,42,nonnegative_decimal,False,2024-04-22,2024-04-22,iso_date,False,true,True,explicit_boolean,False
17,Daniela Quintero Ríos,daniela.quintero@empresa.co,vendedor,99,Costa,pyme,42,2025-02-10,true,18,17,17,trim_unicode_nfc,False,Daniela Quintero Ríos,Daniela Quintero Ríos,trim_unicode_nfc,False,daniela.quintero@empresa.co,daniela.quintero@empresa.co,trim_unicode_casefold,False,vendedor,vendedor,trim_unicode_casefold,False,99,99,trim_unicode_nfc,False,Costa,Costa,explicit_zone_alias,False,pyme,pyme,trim_unicode_casefold,False,42,42,nonnegative_decimal,False,2025-02-10,2025-02-10,iso_date,False,true,True,explicit_boolean,False
18,Felipe Andrade Mora,felipe.andrade@empresa.co,vendedor,1,,corporativo,35,2022-11-28,true,19,18,18,trim_unicode_nfc,False,Felipe Andrade Mora,Felipe Andrade Mora,trim_unicode_nfc,False,felipe.andrade@empresa.co,felipe.andrade@empresa.co,trim_unicode_casefold,False,vendedor,vendedor,trim_unicode_casefold,False,1,1,trim_unicode_nfc,False,,,missing,False,corporativo,corporativo,trim_unicode_casefold,False,35,35,nonnegative_decimal,False,2022-11-28,2022-11-28,iso_date,False,true,True,explicit_boolean,False
